scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_percent_free,cu_percent_free,zn_percent_free,cd_percent_free,pb_sorbed_mol,cu_sorbed_mol,zn_sorbed_mol,cd_sorbed_mol
baseline_00001,5.5,Low,25,20,30,2,10,20,10,100,150,None,0,Sand,0.1,Dry,12,Low,Low,85.36637923889656,97.67021274567679,99.0507041535262,77.90083661901375,0.002562,0.01525,5.796e-05,2.174e-07
baseline_00002,5.5,Low,25,20,30,2,10,100,50,100,150,None,0,Sand,0.1,Dry,12,High,Low,86.6095789365504,97.92439677364213,99.15967082476219,79.75561844327599,0.002468,0.01452,5.51e-05,2.114e-07
baseline_00003,5.5,Low,25,20,30,2,10,20,10,500,700,None,0,Sand,0.1,Dry,12,Low,Medium,67.72123153019649,96.87588765828515,97.19827074251415,46.96532401071276,0.001889,0.01407,5.288e-05,1.219e-07
baseline_00004,5.5,Low,25,20,30,2,10,100,50,500,700,None,0,Sand,0.1,Dry,12,High,Medium,68.95614322986596,97.06652567925916,97.37261741649176,48.40980561324427,0.001865,0.01367,5.138e-05,1.219e-07
baseline_00005,5.5,Low,25,20,30,2,10,20,10,2000,3000,None,0,Sand,0.1,Dry,12,Low,High,38.282262689753715,94.30227437513624,91.98966385743323,19.284110421344604,0.0009419,0.01208,4.415e-05,4.414e-08
baseline_00006,5.5,Low,25,20,30,2,10,100,50,2000,3000,None,0,Sand,0.1,Dry,12,High,High,38.70495058695601,94.4293663891189,92.18580386565803,19.559517419492632,0.0009405,0.01194,4.369e-05,4.422e-08
baseline_00007,5.5,Low,25,20,30,2,10,20,10,100,150,None,0,Sand,0.1,Mesic,8,Low,Low,85.36637923889656,97.67021274567679,99.0507041535262,77.90083661901375,0.002562,0.01525,5.796e-05,2.174e-07
baseline_00008,5.5,Low,25,20,30,2,10,100,50,100,150,None,0,Sand,0.1,Mesic,8,High,Low,86.6095789365504,97.92439677364213,99.15967082476219,79.75561844327599,0.002468,0.01452,5.51e-05,2.114e-07
baseline_00009,5.5,Low,25,20,30,2,10,20,10,500,700,None,0,Sand,0.1,Mesic,8,Low,Medium,67.72123153019649,96.84411465478948,97.19827074251415,46.96532401071276,0.00189,0.01407,5.289e-05,1.219e-07
baseline_00010,5.5,Low,25,20,30,2,10,100,50,500,700,None,0,Sand,0.1,Mesic,8,High,Medium,68.95614322986596,97.03475267576349,97.37261741649176,48.41542616422687,0.001866,0.01367,5.139e-05,1.219e-07
baseline_00011,5.5,Low,25,20,30,2,10,20,10,2000,3000,None,0,Sand,0.1,Mesic,8,Low,High,38.282262689753715,94.01631734367523,91.98966385743323,19.284110421344604,0.0009432,0.01206,4.421e-05,4.42e-08
baseline_00012,5.5,Low,25,20,30,2,10,100,50,2000,3000,None,0,Sand,0.1,Mesic,8,High,High,38.70495058695601,94.17518236115356,92.18580386565803,19.559517419492632,0.0009417,0.01192,4.374e-05,4.427e-08
baseline_00013,5.5,Low,25,20,30,2,10,20,10,100,150,None,0,Sand,0.1,Wet,3,Low,Low,85.78077913811451,23.861525625245047,99.0942908220206,78.96874130571018,0.004417,0.006394,9.949e-05,3.783e-07
baseline_00014,5.5,Low,25,20,30,2,10,100,50,100,150,None,0,Sand,0.1,Wet,3,High,Low,87.02397883576835,26.55905362202708,99.20325749325659,80.82352312997241,0.004051,0.006433,9.004e-05,3.498e-07
baseline_00015,5.5,Low,25,20,30,2,10,20,10,500,700,None,0,Sand,0.1,Wet,3,Low,Medium,68.13563142941443,3.3679383705405797,97.24185741100855,47.52737910897405,0.004046,0.001041,0.0001126,2.626e-07
baseline_00016,5.5,Low,25,20,30,2,10,100,50,500,700,None,0,Sand,0.1,Wet,3,High,Medium,69.38711912505264,3.641186200603306,97.43799741923335,49.005584017401226,0.00389,0.001063,0.0001065,2.556e-07
baseline_00017,5.5,Low,25,20,30,2,10,20,10,2000,3000,None,0,Sand,0.1,Wet,3,Low,High,38.43144665347217,0.3278973960752715,92.03325052592763,19.38528033903163,0.001913,8.494e-05,8.937e-05,8.978e-08
baseline_00018,5.5,Low,25,20,30,2,10,100,50,2000,3000,None,0,Sand,0.1,Wet,3,High,High,38.862422548658834,0.33679383705405797,92.22939053415243,19.666307888162272,0.001893,8.539e-05,8.764e-05,8.915e-08
baseline_00019,5.5,Low,25,20,30,2,25,20,10,100,150,None,0,Loam,0.5,Dry,12,Low,Low,79.30785271233022,96.1768815813805,98.68021747132379,77.90083661901375,0.01204,0.07598,0.0002922,1.1e-06
baseline_00020,5.5,Low,25,20,30,2,25,100,50,100,150,None,0,Loam,0.5,Dry,12,High,Low,80.89086032734276,96.5581576233285,98.83277081105419,79.75561844327599,0.01164,0.07229,0.0002773,1.068e-06
baseline_00021,5.5,Low,25,20,30,2,25,20,10,500,700,None,0,Loam,0.5,Dry,12,Low,Medium,64.38116834249986,95.6367405219542,96.89316406305335,46.970944561695376,0.009037,0.06987,0.0002653,6.134e-07
baseline_00022,5.5,Low,25,20,30,2,25,100,50,500,700,None,0,Loam,0.5,Dry,12,High,Medium,65.6409440361224,95.92269755341519,97.08930407127815,48.41542616422687,0.008926,0.06787,0.0002575,6.126e-07
baseline_00023,5.5,Low,25,20,30,2,25,20,10,2000,3000,None,0,Loam,0.5,Dry,12,Low,High,37.395446905427306,93.41263027725758,91.79352384920843,19.284110421344604,0.004595,0.05975,0.00022,2.205e-07
baseline_00024,5.5,Low,25,20,30,2,25,100,50,2000,3000,None,0,Loam,0.5,Dry,12,High,High,37.809846804645254,93.57149529473591,91.96787052318604,19.559517419492632,0.004587,0.05908,0.0002176,2.208e-07
baseline_00025,5.5,Low,25,20,30,2,25,20,10,100,150,None,0,Loam,0.5,Mesic,8,Low,Low,79.30785271233022,96.14510857788484,98.68021747132379,77.90083661901375,0.01204,0.07598,0.0002922,1.1e-06
baseline_00026,5.5,Low,25,20,30,2,25,100,50,100,150,None,0,Loam,0.5,Mesic,8,High,Low,80.89086032734276,96.5581576233285,98.83277081105419,79.75561844327599,0.01164,0.07229,0.0002773,1.068e-06
baseline_00027,5.5,Low,25,20,30,2,25,20,10,500,700,None,0,Loam,0.5,Mesic,8,Low,Medium,64.38116834249986,95.6367405219542,96.89316406305335,46.970944561695376,0.009038,0.06986,0.0002653,6.135e-07
baseline_00028,5.5,Low,25,20,30,2,25,100,50,500,700,None,0,Loam,0.5,Mesic,8,High,Medium,65.6409440361224,95.89092454991952,97.08930407127815,48.41542616422687,0.008927,0.06787,0.0002575,6.126e-07
baseline_00029,5.5,Low,25,20,30,2,25,20,10,2000,3000,None,0,Loam,0.5,Mesic,8,Low,High,37.395446905427306,93.15844624929225,91.79352384920843,19.284110421344604,0.004601,0.05966,0.0002203,2.208e-07
baseline_00030,5.5,Low,25,20,30,2,25,100,50,2000,3000,None,0,Loam,0.5,Mesic,8,High,High,37.809846804645254,93.31731126677057,91.96787052318604,19.559517419492632,0.004593,0.05899,0.0002179,2.211e-07
baseline_00031,5.5,Low,25,20,30,2,25,20,10,100,150,None,0,Loam,0.5,Wet,3,Low,Low,79.61450863775148,23.78844771720502,98.72380413981818,78.96874130571018,0.02072,0.03222,0.0005011,1.912e-06
baseline_00032,5.5,Low,25,20,30,2,25,100,50,100,150,None,0,Loam,0.5,Wet,3,High,Low,81.20580425074839,26.46373461154008,98.87635747954859,80.7673176201463,0.01906,0.03234,0.0004527,1.765e-06
baseline_00033,5.5,Low,25,20,30,2,25,20,10,500,700,None,0,Loam,0.5,Wet,3,Low,Medium,64.73755225582728,3.3679383705405797,96.95854406579495,47.53862021093927,0.01932,0.005232,0.0005644,1.32e-06
baseline_00034,5.5,Low,25,20,30,2,25,100,50,500,700,None,0,Loam,0.5,Wet,3,High,Medium,66.01390394541855,3.641186200603306,97.15468407401974,49.01120456838383,0.01859,0.005337,0.0005336,1.284e-06
baseline_00035,5.5,Low,25,20,30,2,25,20,10,2000,3000,None,0,Loam,0.5,Wet,3,Low,High,37.536342871161416,0.3278973960752715,91.83711051770283,19.38528033903163,0.0093,0.0004228,0.0004438,4.469e-07
baseline_00036,5.5,Low,25,20,30,2,25,100,50,2000,3000,None,0,Loam,0.5,Wet,3,High,High,37.95074277037936,0.33679383705405797,92.01145719168044,19.666307888162272,0.009201,0.0004249,0.0004351,4.436e-07
baseline_00037,5.5,Low,25,20,30,2,40,20,10,100,150,None,0,Clay,1.5,Dry,12,Low,Low,74.05326199024668,94.6835504170842,98.33152412336858,77.90083661901375,0.03415,0.2273,0.0008844,3.342e-06
