scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol,cd_total_mol,cd_free_mol,cd_percent_free,cd_sorbed_mol
1,5.5,Low,25,20,30,2,10,20,10,100,150,EDTA,50,Sand,0.1,Mesic,8,Low,Low,0.00012066,9.256e-05,76.71142052047074,0.003123,0.00031471,0.0001604,50.96755743382797,0.0108,0.00045886,0.0004542,98.98443969838294,7.86e-05,1.7792e-05,1.38e-05,77.56294964028778,2.939e-07
2,5.5,Low,25,20,30,2,10,20,10,100,150,EDTA,150,Sand,0.1,Mesic,8,Low,Low,0.00012066,7.601e-06,6.299519310459141,0.0005798,0.00031471,4.182e-06,1.3288424263607763,0.0006365,0.00045886,0.0003695,80.52565052521466,0.0001446,1.7792e-05,1.075e-05,60.42041366906476,5.172e-07
3,5.5,Low,25,20,30,2,10,20,10,100,150,EDTA,300,Sand,0.1,Mesic,8,Low,Low,0.00012066,1.735e-11,1.4379247472236036e-05,1.424e-09,0.00031471,8.998e-12,2.859140160782943e-06,1.474e-09,0.00045886,4.155e-09,0.0009055049470426,1.749e-09,1.7792e-05,1.018e-10,0.000572167266187,5.27e-12
4,5.5,Low,25,20,30,2,10,20,10,100,150,NTA,50,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001013,83.95491463616774,0.004472,0.00031471,6.591e-05,20.943090464236917,0.005805,0.00045886,0.0004495,97.96016214095802,0.0001018,1.7792e-05,1.381e-05,77.619154676259,3.847e-07
5,5.5,Low,25,20,30,2,10,20,10,100,150,NTA,150,Sand,0.1,Mesic,8,Low,Low,0.00012066,6.122e-06,5.073760981269683,0.0004992,0.00031471,3.377e-07,0.1073051380636141,5.494e-05,0.00045886,0.0001065,23.209693588458354,4.453e-05,1.7792e-05,1.03e-05,57.89118705035972,5.301e-07
6,5.5,Low,25,20,30,2,10,20,10,100,150,NTA,300,Sand,0.1,Mesic,8,Low,Low,0.00012066,4.971e-09,0.0041198408751864,4.11e-07,0.00031471,2.589e-10,8.226621333926473e-05,4.271e-08,0.00045886,1.064e-07,0.0231879004489386,4.512e-08,1.7792e-05,3.123e-08,0.1755283273381295,1.629e-09
7,5.5,Low,25,20,30,2,10,20,10,100,150,Citrate,50,Sand,0.1,Mesic,8,Low,Low,0.00012066,6.592e-05,54.63285264379248,0.002534,0.00031471,0.0001268,40.29106161227797,0.009722,0.00045886,0.0004283,93.34001656278603,8.444e-05,1.7792e-05,1.379e-05,77.50674460431655,3.344e-07
8,5.5,Low,25,20,30,2,10,20,10,100,150,Citrate,150,Sand,0.1,Mesic,8,Low,Low,0.00012066,6.165e-06,5.109398309298856,0.0004714,0.00031471,7.956e-06,2.5280416891741604,0.001214,0.00045886,0.0001725,37.59316567144663,6.765e-05,1.7792e-05,1.276e-05,71.71762589928058,6.159e-07
9,5.5,Low,25,20,30,2,10,20,10,100,150,Citrate,300,Sand,0.1,Mesic,8,Low,Low,0.00012066,5.102e-07,0.4228410409414885,4.288e-05,0.00031471,6.376e-07,0.2025992183279845,0.0001069,0.00045886,2.076e-05,4.524255764285403,8.948e-06,1.7792e-05,6.836e-06,38.42176258992806,3.625e-07
10,5.5,Low,25,20,30,2,10,20,10,100,150,Humic,50,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001079,89.42483010111056,0.00266,0.00031471,0.0003103,98.59870992342157,0.01527,0.00045886,0.0004554,99.2459573726191,5.759e-05,1.7792e-05,1.386e-05,77.90017985611512,2.156e-07
11,5.5,Low,25,20,30,2,10,20,10,100,150,Humic,150,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001072,88.84468755179844,0.002646,0.00031471,0.0003099,98.47160878268882,0.01526,0.00045886,0.0004553,99.22416423309942,5.765e-05,1.7792e-05,1.386e-05,77.90017985611512,2.158e-07
12,5.5,Low,25,20,30,2,10,20,10,100,150,Humic,300,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001062,88.01591248135256,0.002625,0.00031471,0.0003093,98.28095707158973,0.01526,0.00045886,0.0004551,99.18057795406006,5.772e-05,1.7792e-05,1.386e-05,77.90017985611512,2.162e-07
13,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,50,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001079,89.42483010111056,0.00266,0.00031471,0.0003103,98.59870992342157,0.01527,0.00045886,0.0004554,99.2459573726191,5.759e-05,1.7792e-05,1.386e-05,77.90017985611512,2.156e-07
14,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,150,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001072,88.84468755179844,0.002646,0.00031471,0.0003099,98.47160878268882,0.01526,0.00045886,0.0004553,99.22416423309942,5.765e-05,1.7792e-05,1.386e-05,77.90017985611512,2.158e-07
15,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,300,Sand,0.1,Mesic,8,Low,Low,0.00012066,0.0001062,88.01591248135256,0.002625,0.00031471,0.0003093,98.28095707158973,0.01526,0.00045886,0.0004551,99.18057795406006,5.772e-05,1.7792e-05,1.386e-05,77.90017985611512,2.162e-07
16,5.5,Low,25,20,30,2,10,20,10,100,150,EDTA,50,Sand,0.1,Wet,3,Low,Low,0.00012066,7.181e-05,59.51433780871872,0.003654,0.00031471,4.399e-05,13.97794795208287,0.004467,0.00045886,0.0004516,98.4178180708713,0.0001179,1.7792e-05,1.382e-05,77.67535971223022,4.436e-07
17,5.5,Low,25,20,30,2,10,20,10,100,150,EDTA,150,Sand,0.1,Wet,3,Low,Low,0.00012066,6.694e-06,5.5478203215647275,0.0005155,0.00031471,3.516e-06,1.1172190270407676,0.0005403,0.00045886,0.0003597,78.3899228522861,0.0001421,1.7792e-05,1.041e-05,58.50944244604317,5.059e-07
18,5.5,Low,25,20,30,2,10,20,10,100,150,EDTA,300,Sand,0.1,Wet,3,Low,Low,0.00012066,1.735e-11,1.4379247472236036e-05,1.424e-09,0.00031471,8.998e-12,2.859140160782943e-06,1.474e-09,0.00045886,4.155e-09,0.0009055049470426,1.749e-09,1.7792e-05,1.018e-10,0.000572167266187,5.27e-12
19,5.5,Low,25,20,30,2,10,20,10,100,150,NTA,50,Sand,0.1,Wet,3,Low,Low,0.00012066,9.049e-05,74.99585612464776,0.004926,0.00031471,2.044e-05,6.494868291442916,0.00222,0.00045886,0.0004386,95.58470993331298,0.0001224,1.7792e-05,1.383e-05,77.73156474820144,4.75e-07
20,5.5,Low,25,20,30,2,10,20,10,100,150,NTA,150,Sand,0.1,Wet,3,Low,Low,0.00012066,6.048e-06,5.012431626056689,0.0004935,0.00031471,3.321e-07,0.1055257220933557,5.407e-05,0.00045886,0.0001054,22.96996905374188,4.411e-05,1.7792e-05,1.027e-05,57.722571942446045,5.286e-07
21,5.5,Low,25,20,30,2,10,20,10,100,150,NTA,300,Sand,0.1,Wet,3,Low,Low,0.00012066,4.971e-09,0.0041198408751864,4.11e-07,0.00031471,2.589e-10,8.226621333926473e-05,4.271e-08,0.00045886,1.064e-07,0.0231879004489386,4.512e-08,1.7792e-05,3.123e-08,0.1755283273381295,1.629e-09
22,5.5,Low,25,20,30,2,10,20,10,100,150,Citrate,50,Sand,0.1,Wet,3,Low,Low,0.00012066,4.567e-05,37.85015746726339,0.002501,0.00031471,4.22e-05,13.409170347303869,0.004612,0.00045886,0.0004011,87.41228261343329,0.0001126,1.7792e-05,1.385e-05,77.84397482014388,4.786e-07
23,5.5,Low,25,20,30,2,10,20,10,100,150,Citrate,150,Sand,0.1,Wet,3,Low,Low,0.00012066,5.552e-06,4.601359191115532,0.0004306,0.00031471,6.629e-06,2.106383654793302,0.001026,0.00045886,0.0001608,35.04336834764416,6.396e-05,1.7792e-05,1.267e-05,71.21178057553958,6.2e-07
24,5.5,Low,25,20,30,2,10,20,10,100,150,Citrate,300,Sand,0.1,Wet,3,Low,Low,0.00012066,5.079e-07,0.420934858279463,4.27e-05,0.00031471,6.303e-07,0.200279622509612,0.0001057,0.00045886,2.067e-05,4.504641938717692,8.91e-06,1.7792e-05,6.821e-06,38.33745503597123,3.618e-07
25,5.5,Low,25,20,30,2,10,20,10,100,150,Humic,50,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001085,89.92209514337807,0.004591,0.00031471,7.523e-05,23.904547043309712,0.006352,0.00045886,0.0004556,99.28954365165846,9.888e-05,1.7792e-05,1.405e-05,78.96807553956835,3.751e-07
26,5.5,Low,25,20,30,2,10,20,10,100,150,Humic,150,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001078,89.34195259406597,0.004567,0.00031471,7.521e-05,23.89819198627308,0.006358,0.00045886,0.0004555,99.26775051213878,9.897e-05,1.7792e-05,1.405e-05,78.96807553956835,3.756e-07
27,5.5,Low,25,20,30,2,10,20,10,100,150,Humic,300,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001067,88.4303000165755,0.00453,0.00031471,7.518e-05,23.88865940071812,0.006366,0.00045886,0.0004553,99.22416423309942,9.91e-05,1.7792e-05,1.405e-05,78.96807553956835,3.762e-07
28,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,50,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001085,89.92209514337807,0.004591,0.00031471,7.523e-05,23.904547043309712,0.006352,0.00045886,0.0004556,99.28954365165846,9.888e-05,1.7792e-05,1.405e-05,78.96807553956835,3.751e-07
29,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,150,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001078,89.34195259406597,0.004567,0.00031471,7.521e-05,23.89819198627308,0.006358,0.00045886,0.0004555,99.26775051213878,9.897e-05,1.7792e-05,1.405e-05,78.96807553956835,3.756e-07
30,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,300,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001067,88.4303000165755,0.00453,0.00031471,7.518e-05,23.88865940071812,0.006366,0.00045886,0.0004553,99.22416423309942,9.91e-05,1.7792e-05,1.405e-05,78.96807553956835,3.762e-07
31,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,7.419e-05,61.48682247637992,0.002307,0.00031471,0.000156,49.56944488576785,0.009683,0.00045886,0.0004455,97.08843656017083,7.106e-05,1.7792e-05,8.334e-06,46.84127697841728,1.635e-07
32,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,150,Sand,0.1,Mesic,8,Low,Medium,0.00012066,7.074e-06,5.862754848334163,0.0004384,0.00031471,3.955e-06,1.2567125289949477,0.000489,0.00045886,0.0003599,78.43350913132547,0.0001144,1.7792e-05,7.049e-06,39.61892985611511,2.756e-07
33,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,300,Sand,0.1,Mesic,8,Low,Medium,0.00012066,1.738e-11,1.440411072434941e-05,1.138e-09,0.00031471,9.019e-12,2.8658129706714117e-06,1.179e-09,0.00045886,4.163e-09,0.0009072483982042,1.399e-09,1.7792e-05,1.02e-10,0.0005732913669064,4.214e-12
34,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.001e-05,66.31029338637494,0.003207,0.00031471,6.396e-05,20.323472403164818,0.005115,0.00045886,0.0004408,96.06415900274592,9.061e-05,1.7792e-05,8.331e-06,46.824415467625904,2.107e-07
