scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
1,5.0,Low,25,20,30,None,0,Sand,0.1,Dry,12,0.00012066,0.0001071,88.76181004475386,0.0006562,0.00031471,0.0003119,99.10711448635251,0.003813,0.00045886,0.0004554,99.2459573726191,1.431e-05
2,5.0,Low,25,20,30,EDTA,50,Sand,0.1,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.0006203,0.00031471,0.0001607,51.062883289377524,0.002166,0.00045886,0.0004541,98.96264655886327,1.573e-05
3,5.0,Low,25,20,30,EDTA,200,Sand,0.1,Dry,12,0.00012066,1.551e-06,1.2854301342615615,1.219e-05,0.00031471,8.083e-07,0.25683963013568045,1.268e-05,0.00045886,0.0002058,44.850281131499806,8.295e-06
4,5.0,Low,25,20,30,Citrate,50,Sand,0.1,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.0004691,0.00031471,0.0001308,41.56207301960536,0.001825,0.00045886,0.0004283,93.34001656278603,1.536e-05
5,5.0,Low,25,20,30,Citrate,200,Sand,0.1,Dry,12,0.00012066,4.744e-06,3.931708934195259,3.795e-05,0.00031471,6.004e-06,1.9077881223983986,9.583e-05,0.00045886,0.0001386,30.20529137427538,5.686e-06
6,5.0,Low,25,20,30,DTPA,50,Sand,0.1,Dry,12,0.00012066,0.000107,88.67893253770927,0.000704,0.00031471,0.0001866,59.29268215182232,0.002449,0.00045886,0.0004549,99.13699167502071,1.535e-05
7,5.0,Low,25,20,30,DTPA,200,Sand,0.1,Dry,12,0.00012066,6.444e-05,53.40626553953257,0.0004833,0.00031471,1.051e-06,0.3339582472752693,1.573e-05,0.00045886,0.00031,67.55873251100553,1.193e-05
8,5.0,Low,25,20,30,None,0,Sand,0.1,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.0006562,0.00031471,0.0003119,99.10711448635251,0.003813,0.00045886,0.0004554,99.2459573726191,1.431e-05
9,5.0,Low,25,20,30,EDTA,50,Sand,0.1,Mesic,8,0.00012066,9.183e-05,76.10641471904525,0.0006203,0.00031471,0.0001607,51.062883289377524,0.002166,0.00045886,0.0004541,98.96264655886327,1.573e-05
10,5.0,Low,25,20,30,EDTA,200,Sand,0.1,Mesic,8,0.00012066,1.551e-06,1.2854301342615615,1.219e-05,0.00031471,8.083e-07,0.25683963013568045,1.268e-05,0.00045886,0.0002058,44.850281131499806,8.295e-06
11,5.0,Low,25,20,30,Citrate,50,Sand,0.1,Mesic,8,0.00012066,6.708e-05,55.5942317255097,0.0004691,0.00031471,0.0001308,41.56207301960536,0.001825,0.00045886,0.0004283,93.34001656278603,1.536e-05
12,5.0,Low,25,20,30,Citrate,200,Sand,0.1,Mesic,8,0.00012066,4.744e-06,3.931708934195259,3.795e-05,0.00031471,6.004e-06,1.9077881223983986,9.583e-05,0.00045886,0.0001386,30.20529137427538,5.686e-06
13,5.0,Low,25,20,30,DTPA,50,Sand,0.1,Mesic,8,0.00012066,0.000107,88.67893253770927,0.000704,0.00031471,0.0001866,59.29268215182232,0.002449,0.00045886,0.0004549,99.13699167502071,1.535e-05
