scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
1,5.0,Low,25,20,30,None,0,Sand,0.1,Dry,12,0.00012066,0.0001071,88.76181004475386,0.0006562,0.00031471,0.0003119,99.10711448635251,0.003813,0.00045886,0.0004554,99.2459573726191,1.431e-05
2,5.0,Low,25,20,30,EDTA,10,Sand,0.1,Dry,12,0.00012066,0.000105,87.0213823968175,0.0006557,0.00031471,0.0002804,89.09789965364938,0.003494,0.00045886,0.0004552,99.20237109357974,1.458e-05
3,5.0,Low,25,20,30,EDTA,50,Sand,0.1,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.0006203,0.00031471,0.0001607,51.062883289377524,0.002166,0.00045886,0.0004541,98.96264655886327,1.573e-05
4,5.0,Low,25,20,30,EDTA,150,Sand,0.1,Dry,12,0.00012066,7.284e-06,6.036797613127797,5.695e-05,0.00031471,3.972e-06,1.2621143274760893,6.196e-05,0.00045886,0.000366,79.76289064202588,1.468e-05
5,5.0,Low,25,20,30,Citrate,10,Sand,0.1,Dry,12,0.00012066,0.0001005,83.29189457981104,0.0006323,0.00031471,0.0002711,86.14279813161322,0.003404,0.00045886,0.0004522,98.54857690798936,1.46e-05
6,5.0,Low,25,20,30,Citrate,50,Sand,0.1,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.0004691,0.00031471,0.0001308,41.56207301960536,0.001825,0.00045886,0.0004283,93.34001656278603,1.536e-05
7,5.0,Low,25,20,30,Citrate,150,Sand,0.1,Dry,12,0.00012066,9.934e-06,8.233051549809382,7.848e-05,0.00031471,1.296e-05,4.118076959740714,0.0002042,0.00045886,0.0002237,48.75125310552238,9.063e-06
8,5.0,Low,25,20,30,None,0,Sand,0.1,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.0006562,0.00031471,0.0003119,99.10711448635251,0.003813,0.00045886,0.0004554,99.2459573726191,1.431e-05
9,5.0,Low,25,20,30,EDTA,10,Sand,0.1,Mesic,8,0.00012066,0.000105,87.0213823968175,0.0006557,0.00031471,0.0002804,89.09789965364938,0.003494,0.00045886,0.0004552,99.20237109357974,1.458e-05
10,5.0,Low,25,20,30,EDTA,50,Sand,0.1,Mesic,8,0.00012066,9.183e-05,76.10641471904525,0.0006203,0.00031471,0.0001607,51.062883289377524,0.002166,0.00045886,0.0004541,98.96264655886327,1.573e-05
11,5.0,Low,25,20,30,EDTA,150,Sand,0.1,Mesic,8,0.00012066,7.284e-06,6.036797613127797,5.695e-05,0.00031471,3.972e-06,1.2621143274760893,6.196e-05,0.00045886,0.000366,79.76289064202588,1.468e-05
12,5.0,Low,25,20,30,Citrate,10,Sand,0.1,Mesic,8,0.00012066,0.0001005,83.29189457981104,0.0006323,0.00031471,0.0002711,86.14279813161322,0.003404,0.00045886,0.0004522,98.54857690798936,1.46e-05
13,5.0,Low,25,20,30,Citrate,50,Sand,0.1,Mesic,8,0.00012066,6.708e-05,55.5942317255097,0.0004691,0.00031471,0.0001308,41.56207301960536,0.001825,0.00045886,0.0004283,93.34001656278603,1.536e-05
14,5.0,Low,25,20,30,Citrate,150,Sand,0.1,Mesic,8,0.00012066,9.934e-06,8.233051549809382,7.848e-05,0.00031471,1.296e-05,4.118076959740714,0.0002042,0.00045886,0.0002237,48.75125310552238,9.063e-06
15,5.0,Low,25,20,30,None,0,Sand,0.1,Wet,3,0.00012066,0.0001077,89.25907508702139,0.0007725,0.00031471,7.834e-05,24.89275841250675,0.001121,0.00045886,0.0004556,99.28954365165846,1.676e-05
16,5.0,Low,25,20,30,EDTA,10,Sand,0.1,Wet,3,0.00012066,0.0001011,83.78915962207857,0.0007299,0.00031471,7.141e-05,22.690731149312064,0.001029,0.00045886,0.000455,99.15878481454038,1.685e-05
17,5.0,Low,25,20,30,EDTA,50,Sand,0.1,Wet,3,0.00012066,7.201e-05,59.680092822807886,0.0005342,0.00031471,4.546e-05,14.445044644275685,0.0006729,0.00045886,0.0004516,98.4178180708713,1.718e-05
18,5.0,Low,25,20,30,EDTA,150,Sand,0.1,Wet,3,0.00012066,6.47e-06,5.362174705784851,5.065e-05,0.00031471,3.382e-06,1.0746401448953005,5.282e-05,0.00045886,0.0003565,77.69254238765636,1.431e-05
19,5.0,Low,25,20,30,Citrate,10,Sand,0.1,Wet,3,0.00012066,9.278e-05,76.89375103596883,0.0006728,0.00031471,7.137e-05,22.678021035238793,0.001033,0.00045886,0.000448,97.63326504816283,1.666e-05
20,5.0,Low,25,20,30,Citrate,50,Sand,0.1,Wet,3,0.00012066,4.854e-05,40.22874191944306,0.0003658,0.00031471,4.519e-05,14.359251374281085,0.0006795,0.00045886,0.0004038,88.00069738046463,1.56e-05
21,5.0,Low,25,20,30,Citrate,150,Sand,0.1,Wet,3,0.00012066,8.941e-06,7.410077904856621,7.091e-05,0.00031471,1.037e-05,3.295097073496235,0.0001641,0.00045886,0.0002106,45.8963518284444,8.564e-06
22,5.0,Low,25,20,30,None,0,Loam,0.5,Dry,12,0.00012066,0.0001071,88.76181004475386,0.003269,0.00031471,0.0003119,99.10711448635251,0.01899,0.00045886,0.0004554,99.2459573726191,7.127e-05
23,5.0,Low,25,20,30,EDTA,10,Loam,0.5,Dry,12,0.00012066,0.000105,87.0213823968175,0.003266,0.00031471,0.0002804,89.09789965364938,0.0174,0.00045886,0.0004552,99.20237109357974,7.26e-05
24,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.003089,0.00031471,0.0001607,51.062883289377524,0.01079,0.00045886,0.0004541,98.96264655886327,7.834e-05
25,5.0,Low,25,20,30,EDTA,150,Loam,0.5,Dry,12,0.00012066,7.284e-06,6.036797613127797,0.0002836,0.00031471,3.972e-06,1.2621143274760893,0.0003086,0.00045886,0.000366,79.76289064202588,7.308e-05
26,5.0,Low,25,20,30,Citrate,10,Loam,0.5,Dry,12,0.00012066,0.0001005,83.29189457981104,0.003149,0.00031471,0.0002711,86.14279813161322,0.01695,0.00045886,0.0004522,98.54857690798936,7.27e-05
27,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.002336,0.00031471,0.0001308,41.56207301960536,0.009088,0.00045886,0.0004283,93.34001656278603,7.65e-05
28,5.0,Low,25,20,30,Citrate,150,Loam,0.5,Dry,12,0.00012066,9.934e-06,8.233051549809382,0.0003909,0.00031471,1.296e-05,4.118076959740714,0.001017,0.00045886,0.0002237,48.75125310552238,4.514e-05
29,5.0,Low,25,20,30,None,0,Loam,0.5,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.003269,0.00031471,0.0003119,99.10711448635251,0.01899,0.00045886,0.0004554,99.2459573726191,7.127e-05
30,5.0,Low,25,20,30,EDTA,10,Loam,0.5,Mesic,8,0.00012066,0.000105,87.0213823968175,0.003266,0.00031471,0.0002804,89.09789965364938,0.0174,0.00045886,0.0004552,99.20237109357974,7.26e-05
