Parameter,Environmental Proxy,Values,Units,Rationale
pH,Soil acidity,"5.5, 6.0, 6.5, 7.0, 7.5",—,Acidic to neutral range common in contaminated soils
"Metal concentrations (Pb, Cu, Zn, Cd)",Contamination severity,"Low, Medium, High",mg/L,1x to 10x EPA screening level exceedances
Chelator type,Treatment agent,"EDTA, NTA, Citrate, Humic acid, Fulvic acid",—,Industry standard plus biodegradable alternatives
Chelator dose,Treatment intensity,"50, 150, 300",mg/L,Sub-stoichiometric to excess relative to metals
Soil texture,"Surface area, sorption capacity","Sand (0.1), Loam (0.5), Clay (1.5)",mol Hfo_wOH,Iron oxide content scaled by texture class
Dissolved organic carbon,Organic matter content,"10, 25, 40",mg/L,"Tied to texture: Sand = 10, Loam = 25, Clay = 40"
pe (electron activity),Moisture/redox condition,"12 (Dry), 8 (Mesic), 3 (Wet)",—,Oxidizing to reducing conditions
Na/Cl concentration,Ionic strength/salinity,"Low, Medium, High",mg/L,Non-saline to coastal/road-salt-impacted (RI-specific)
Ca/Mg concentration,Competing cations,"Low (20/10), High (100/50)",mg/L,Competition for chelator binding sites
No chelator (baseline),Untreated reference,Dose = 0,—,Required for calculating chelator effectiveness
