scenario_id,ph,pb_mg_L,chelator,dose_mg_L,texture,moisture,pe,hfo_sites,total_pb_mol,free_pb_mol,percent_free,sorbed_pb_mol
1,5.5,50,None,0,Loam,Mesic,8,0.5,0.00024131,0.0002045,84.74576271186442,0.04684
2,5.5,50,EDTA,25,Loam,Mesic,8,0.5,0.00024131,0.000132,54.7014214081472,0.03518
3,5.5,50,EDTA,100,Loam,Mesic,8,0.5,0.00024131,1.163e-10,4.819526749823878e-05,4.664e-08
4,5.5,50,Citrate,25,Loam,Mesic,8,0.5,0.00024131,0.0001023,42.39360159131408,0.02942
5,5.5,50,Citrate,100,Loam,Mesic,8,0.5,0.00024131,7.003e-06,2.9020761675852635,0.002763
6,5.5,50,None,0,Loam,Wet,3,0.5,0.00024131,0.0002045,84.74576271186442,0.04684
7,5.5,50,EDTA,25,Loam,Wet,3,0.5,0.00024131,0.000132,54.7014214081472,0.03518
8,5.5,50,EDTA,100,Loam,Wet,3,0.5,0.00024131,1.163e-10,4.819526749823878e-05,4.664e-08
9,5.5,50,Citrate,25,Loam,Wet,3,0.5,0.00024131,0.0001023,42.39360159131408,0.02942
10,5.5,50,Citrate,100,Loam,Wet,3,0.5,0.00024131,7.003e-06,2.9020761675852635,0.002763
11,5.5,50,None,0,Clay,Mesic,8,1.5,0.00024131,0.0002045,84.74576271186442,0.1405
12,5.5,50,EDTA,25,Clay,Mesic,8,1.5,0.00024131,0.000132,54.7014214081472,0.1055
13,5.5,50,EDTA,100,Clay,Mesic,8,1.5,0.00024131,1.163e-10,4.819526749823878e-05,1.399e-07
14,5.5,50,Citrate,25,Clay,Mesic,8,1.5,0.00024131,0.0001023,42.39360159131408,0.08823
15,5.5,50,Citrate,100,Clay,Mesic,8,1.5,0.00024131,7.003e-06,2.9020761675852635,0.008285
16,5.5,50,None,0,Clay,Wet,3,1.5,0.00024131,0.0002045,84.74576271186442,0.1405
17,5.5,50,EDTA,25,Clay,Wet,3,1.5,0.00024131,0.000132,54.7014214081472,0.1055
18,5.5,50,EDTA,100,Clay,Wet,3,1.5,0.00024131,1.163e-10,4.819526749823878e-05,1.399e-07
19,5.5,50,Citrate,25,Clay,Wet,3,1.5,0.00024131,0.0001023,42.39360159131408,0.08823
20,5.5,50,Citrate,100,Clay,Wet,3,1.5,0.00024131,7.003e-06,2.9020761675852635,0.008285
21,5.5,150,None,0,Loam,Mesic,8,0.5,0.00072394,0.0006163,85.13136447771915,0.08243
22,5.5,150,EDTA,25,Loam,Mesic,8,0.5,0.00072394,0.0005433,75.04765588308425,0.07796
23,5.5,150,EDTA,100,Loam,Mesic,8,0.5,0.00072394,0.0003245,44.824156698068904,0.06046
24,5.5,150,Citrate,25,Loam,Mesic,8,0.5,0.00072394,0.0005054,69.8124153935409,0.07555
25,5.5,150,Citrate,100,Loam,Mesic,8,0.5,0.00072394,0.0001879,25.955189656601373,0.04435
26,5.5,150,None,0,Loam,Wet,3,0.5,0.00072394,0.0006163,85.13136447771915,0.08243
27,5.5,150,EDTA,25,Loam,Wet,3,0.5,0.00072394,0.0005433,75.04765588308425,0.07796
28,5.5,150,EDTA,100,Loam,Wet,3,0.5,0.00072394,0.0003245,44.824156698068904,0.06046
29,5.5,150,Citrate,25,Loam,Wet,3,0.5,0.00072394,0.0005054,69.8124153935409,0.07555
30,5.5,150,Citrate,100,Loam,Wet,3,0.5,0.00072394,0.0001879,25.955189656601373,0.04435
31,5.5,150,None,0,Clay,Mesic,8,1.5,0.00072394,0.0006163,85.13136447771915,0.2472
32,5.5,150,EDTA,25,Clay,Mesic,8,1.5,0.00072394,0.0005433,75.04765588308425,0.2338
33,5.5,150,EDTA,100,Clay,Mesic,8,1.5,0.00072394,0.0003245,44.824156698068904,0.1813
34,5.5,150,Citrate,25,Clay,Mesic,8,1.5,0.00072394,0.0005054,69.8124153935409,0.2266
35,5.5,150,Citrate,100,Clay,Mesic,8,1.5,0.00072394,0.0001879,25.955189656601373,0.133
36,5.5,150,None,0,Clay,Wet,3,1.5,0.00072394,0.0006163,85.13136447771915,0.2472
37,5.5,150,EDTA,25,Clay,Wet,3,1.5,0.00072394,0.0005433,75.04765588308425,0.2338
38,5.5,150,EDTA,100,Clay,Wet,3,1.5,0.00072394,0.0003245,44.824156698068904,0.1813
